#,Product Name,Category,Price (£),Unit,Description,"Source
(postcode)",Locality,Allergens,Tags
1,Dovedale Blue,Cheese,6.3,200g,"Dovedale Blue is a creamy, blue veined white cheese made using traditional and unvarying cheese making methods. The temperature and climate of the area as well as knowledge and skills of cheese-makers ensures the authenticity of this regional, artisan recipe which was retrieved from local archives. Dovedale Blue has achieved PDO status, meaning it can only be produced using milk from the designated areas of Derbyshire, Nottinghamshire and Staffordshire.",ST13 8EN,local (within 30 miles of Ashbourne),Milk,"vegetarian, gluten free"
2,Buxton Blue,Cheese,6.6,200g,A fantastic blue cheese with a powerful tangy kick. Staffordshire Creamery use annatto to give this cheese its gorgeous rustic glow.,ST13 8EN,local (within 30 miles of Ashbourne),Milk,"vegetarian, gluten free"
3,Devonshire Gold,Cheese,6.6,200g,A local Peak District cheese exclusively made by Hartington Creamery for The Duke of Devonshire & Chatsworth House. This soft blue brine ripened naturally rinded cheese has an orange colour due to the addition of natural vegetable colouring called annatto.,SK17 0AT,local (within 30 miles of Ashbourne),Milk,"vegetarian, gluten free"
4,Hartington Stilton,Cheese,5.75,200g,"Our local farmhouse stilton, revived by Robert Gosling, it is a creamy, but sharp, yet almost bitter blue cheese.",SK17 0AT,local (within 30 miles of Ashbourne),Milk,"vegetarian, gluten free"
5,Peakland White,Cheese,6.2,200g,"A crumbly, salty cheese made by our friends in Hartington. Described as having similarities to Cheshire, White Stilton, and Feta. Matured for only two weeks, it tastes young, fresh and clean.",SK17 0AT,local (within 30 miles of Ashbourne),Milk,"vegetarian, gluten free"
6,Ashbourne Sage Derby,Cheese,7.25,200g,A local take on the traditional sage derby.,ST13 8EN,local (within 30 miles of Ashbourne),Milk,"vegetarian, gluten free"
7,Derbyshire Dales Chevre Vache,Cheese,12.4,200g,"A hard pressed blend of cow and goats milk. Firm yet with a creamy texture, depending on the age of the cheese it can be mature and tangy or young and fresh.",ST13 8EN,local (within 30 miles of Ashbourne),Milk,"vegetarian, gluten free"
8,Snowdonia Black Bomber,Cheese,6.6,200g,"An award-winning Extra Mature Cheddar, loved for its immense depth of flavour and smooth creamy texture. The multi-award winning Black Bomber® is a modern classic — a delicious rich flavour with a smooth creaminess, lasting long on the palate but remaining demandingly moreish.",LL21 9RY,UK (national),Milk,"vegetarian, gluten free"
9,Baron Bigod,Cheese,9.9,200g,"Perhaps the best cheese currently produced in the UK. This award winning farmhouse brie has found favour in both living rooms and Michelin starred restaurants. The strength of flavour depends on the ripeness of the cheese but even when young there is a strong flavour of mushrooms, salt and a hint of truffle.",IP22 2NS,UK (national),Milk,"vegetarian, gluten free"
10,Montagnolo,Cheese,6.2,200g,"A deliciously soft, creamy blue cheese, a cross between a Brie and a Roquefort. Montagnolo Affine is a blue, triple crème soft cheese made in the Allgäu region of Germany. Surface ripened with a natural grey crust and marbled with blue veins, ageing at a low temperature allows it to develop its aromatic and spicy flavour.",,international,Milk,"vegetarian, gluten free"
11,Cornish Yarg,Cheese,8.15,200g,"A traditional nettle-wrapped Yarg, with a semi-hard texture. Creamy under its natural rind and slightly crumbly in the core. The hand-picked nettle leaves are carefully brushed onto the cheese in a traditional pattern of concentric circles, attracting naturally occurring moulds which give Yarg its lacy good looks.",TR13 0RH,UK (national),Milk,"vegetarian, gluten free"
12,Isle of Mull Cheddar,Cheese,8.8,200g,"A hard cheddar with a fruity yet sharp flavour. Naturally produced using unpasteurised milk at Sgriob-Ruadh Farm Dairy, Tobermory in the Scottish Inner Hebrides. Cloth-wrapped and matured in the cellar for six months, it has a powerful, complex, lingering flavour.",PA75 6QD,UK (national),Milk,"vegetarian, gluten free"
13,Colston Bassett Stilton,Cheese,8.8,200g,"The king of stilton, still handmade, producing an intensely rich and creamy cheese. Colston Bassett's Stilton is a rich cream colour with even blue veining throughout. The texture is smooth and creamy with a mellow flavour that balances sweet and savoury notes.",NG12 3FN,regional (East Midlands),Milk,"vegetarian, gluten free"
14,Wensleydale and Cranberry,Cheese,5.75,200g,"Traditional Wensleydale is a mild crumbly cheese with a yogurty aftertaste. With plenty of cranberries mixed in during the production process, this cheese takes on a very sweet taste.",DL8 4BS,UK (national),Milk,"vegetarian, gluten free"
15,Rindless Goat Log,Cheese,5.5,200g,"A semi-soft, slightly crumbly, creamy classic goats cheese, perfect for salads. A cylindrical log of soft pasteurised goats cheese with a distinctive flavour.",BD23 6EN,UK (national),Milk,"vegetarian, gluten free"
16,Miller's Crackers - Three Fruit,Pantry,5.05,Box,"Made with stone ground wholemeal flour, apples, sultanas and dates. Fruity and crunchy — a perfect partner for soft and blue cheeses.",DE6 1DP,local (within 30 miles of Ashbourne),Cereals containing gluten,"vegetarian, vegan"
17,Miller's Crackers - Three Nut,Pantry,5.05,Box,"Made with stone ground wholemeal flour, walnuts, almonds and hazelnuts. Warm and mellow.",DE6 1DP,local (within 30 miles of Ashbourne),Cereals containing gluten; Tree nuts,vegetarian
18,Miller's Crackers - Buttermilk,Pantry,4.4,Box,Tangy and creamy wafers. Hexagonal wafers made with buttermilk and butter churned in England.,DE6 1DP,local (within 30 miles of Ashbourne),Cereals containing gluten; Milk,vegetarian
19,Miller's Crackers - Earth,Pantry,4.4,Box,"Beetroot, Potato and Spinach Crackers for cheese, pâtés and dips. Crunchy and tasty with a touch of natural sweetness from the beetroot.",DE6 1DP,local (within 30 miles of Ashbourne),Cereals containing gluten,"vegetarian, vegan"
20,Miller's Crackers - Charcoal,Pantry,4.65,Box,"Dark and crisp wafers. Hexagonal wafers made with stone-ground flour, grown and milled in England.",DE6 1DP,local (within 30 miles of Ashbourne),Cereals containing gluten,"vegetarian, vegan"
21,Fine Cheese Co. Sourdough - Cornmeal,Pantry,4.35,Box,"Deeply flavourful, with natural sour notes. Perfect with hard cheeses such as Comté.",DE6 1DP,local (within 30 miles of Ashbourne),Cereals containing gluten,"vegetarian, vegan"
22,Fine Cheese Co. Sourdough - Rye,Pantry,4.35,Box,"Deeply flavourful, with natural sour notes. Perfect with blue cheeses such as Colston Bassett Stilton.",DE6 1DP,local (within 30 miles of Ashbourne),Cereals containing gluten,"vegetarian, vegan"
23,Fine Cheese Co. Sourdough - Spelt,Pantry,4.35,Box,"Deeply flavourful, with natural sour notes. Perfect with soft cheeses such as Baron Bigod.",DE6 1DP,local (within 30 miles of Ashbourne),Cereals containing gluten,"vegetarian, vegan"
24,Tracklements Fig Relish,Preserves & Condiments,4.95,Jar,"Made by soaking plump figs in spiced vinegar before gently cooking them with rich, dark sugar. The result is at once tangy and sweet — superb with soft cheeses and wonderful in a cheese toastie.",SN16 0RP,UK (national),Sulphur dioxide / sulphites,"vegetarian, vegan"
25,Tracklements Chilli Jam,Preserves & Condiments,4.85,Jar,"A multi award-winner, this addictive sticky-sweet chilli jam smoulders with a gentle heat from fistfuls of fresh red chillies. Incredibly versatile with fish, meats, sandwiches and creamy cheeses.",SN16 0RP,UK (national),Sulphur dioxide / sulphites,"vegetarian, vegan"
26,Tracklements Caramelised Onion Marmalade,Preserves & Condiments,5.55,Jar,"The UK's first onion marmalade, made with a splash of red currant juice for a pleasing tang. Excellent with pâtés, terrines and cheeses, and incomparable when melted over sausages.",SN16 0RP,UK (national),Sulphur dioxide / sulphites,"vegetarian, vegan"
27,Tracklements British Piccalilli,Preserves & Condiments,4.85,Jar,"The traditional British condiment for Cheddar, cold meats and especially crusty pork pies. This version packs a punch of sharpness and crunch, just as it should.",SN16 0RP,UK (national),Cereals containing gluten; Mustard; Sulphur dioxide / sulphites,"vegetarian, vegan"
28,Mrs Darlington's Beetroot Chutney,Preserves & Condiments,4.95,Jar,"So versatile — fab in sandwiches, with cheese or shepherd's pie.",CW10 9JS,UK (national),Sulphur dioxide / sulphites,"vegetarian, vegan"
29,Mrs Darlington's Lemon Curd,Preserves & Condiments,5.55,Jar,"A classic lemon curd packed full of zingy flavour. Add a generous helping to toast, or use in baking for tarts and cakes.",CW10 9JS,UK (national),Eggs; Milk,vegetarian
30,Refill - Porridge Oats,Pantry,0.3,100g,"Loose porridge oats, sold by weight from our refill station.",,,Cereals containing gluten,"vegetarian, vegan"
31,Refill - Wild Rice,Pantry,0.55,100g,"Loose wild rice, sold by weight from our refill station.",,,None,"vegetarian, vegan, gluten free"
32,Refill - Quinoa,Pantry,0.6,100g,"Loose quinoa, sold by weight from our refill station.",,,None,"vegetarian, vegan, gluten free"
33,Refill - Red Split Lentils,Pantry,0.4,100g,"Loose red split lentils, sold by weight from our refill station.",,,None,"vegetarian, vegan, gluten free"
34,Refill - Green Lentils,Pantry,0.55,100g,"Loose green lentils, sold by weight from our refill station.",,,None,"vegetarian, vegan, gluten free"
35,Refill - Muesli,Pantry,0.45,100g,"Loose muesli, sold by weight from our refill station.",,,Cereals containing gluten,"vegetarian, vegan"
36,The Cheese Night in for Two,Hampers & Gifts,26.4,Hamper,"A perfectly selected spread of cheeses and chutney for two. Contains 180g Dovedale Blue, 180g Cricket St Thomas Brie, 200g Black Bomber, one jar of Tracklements Caramelised Onion Marmalade and one packet of Peter's Yard Original Sourdough Crispbread.",,,Milk; Cereals containing gluten,vegetarian
37,Best of British Cheese Box,Hampers & Gifts,47.3,Hamper,"Celebrating some of our favourite British cheese makers from across the country. Contains 150g Cornish Yarg, 150g Colston Bassett Stilton, 150g Rutland Red, 150g Isle of Mull, 150g Baron Bigod, 200g Black Bomber, one jar of Tracklements British Piccalilli, one packet of Miller's Three Fruit crackers and one packet of Miller's Plum & Date Toast.",,,Milk; Cereals containing gluten; Sulphur dioxide / sulphites,vegetarian