supplier,product_name,category,price_gbp,unit,description,source_postcode,provenance_category,allergens_best_guess,photo,needs_fix
Luke Evans Bakery,White Baps,Bread,1.42,pack of 4,"Our white baps are proof that simple things done properly never go out of style. Fluffy and golden, they're crafted with the same slow, careful methods we've always used – a versatile everyday roll that feels right at home at breakfast, lunch or supper.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,White Tennis Rolls,Bread,1.68,pack of 6,"There's a reason these soft, golden rolls have graced Derbyshire tea tables for generations. Our Tennis Rolls are baked slowly to achieve their tender crumb, made with simple ingredients and an instinctive feel for the dough passed down through our family since 1804. Spread with butter, topped with jam or filled with something savoury they taste like home.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,White Farmhouse Ovals,Bread,1.84,,"These oval rolls take their cue from the farmhouse loaves we've baked for generations. With their soft, tender crumb and light crust, they're a versatile choice, perfect for soups, cheese boards and ploughman's lunches.",DE55 4AS,own produce,Gluten (wheat),,UNIT MISSING — confirm pack size with Helen
Luke Evans Bakery,Cheesy Farmhouse Ovals,Bread,1.79,pack of 2,"A nostalgic favourite, our cheesy oval is a soft roll topped with cheese. It's a simple bake that adds a little bit extra for dipping in soup or even warming up.",DE55 4AS,own produce,Gluten (wheat); Milk (cheese),,
Luke Evans Bakery,Wholemeal Baps,Bread,1.73,pack of 4,"Soft and slightly nutty, our wholemeal baps bring a touch of heritage and health to the table. Baked with the same care as all our bread, they're a perfect match for savoury fillings or a pat of butter.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,Wholemeal Tennis Rolls,Bread,2.05,pack of 6,"Nutty, wholesome and full of flavour, our wholemeal tennis rolls are baked with stoneground flour for a soft yet substantial bite. They carry with them a sense of tradition and goodness – proof that simple food can be deeply satisfying.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,Country Grain Rolls,Bread,1.8,pack of 4,"Nutty, seedy and wholesome, these country grain baps are a baker's nod to Derbyshire's farming heritage. Best enjoyed with local cheese or a ploughman's lunch.",DE55 4AS,own produce,Gluten (wheat); Sesame?,,
Luke Evans Bakery,Sliced White Bobby's Foot,Bread,1.84,400g loaf,"The distinctive shape and heritage of our Bobby's Foot loaf, prepared in a convenient sliced version. Soft, light and full of the character that has made it a local favourite for generations, it's ready for everything from quick breakfasts to packed lunches. Tradition meets practicality in every slice.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,Sliced Wholemeal Bobby's Foot,Bread,2.1,400g loaf,"The character of our traditional Bobby's Foot loaf, reimagined in wholemeal and prepared in ready-sliced form. With its distinctive shape and wholesome, nutty flavour, it combines the history of Derbyshire baking with the ease of modern life. A local favourite, full of heritage and heart.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,White Sliced Farmhouse,Bread,1.84,400g loaf,,DE55 4AS,own produce,Gluten (wheat),,"DESCRIPTION WRONG — current copy is Bobby's Foot, confirm with Helen"
Luke Evans Bakery,Low GI Seeded Farmhouse Sliced,Bread,2.84,400g loaf,"A hearty, rustic farmhouse loaf packed with wholesome wholegrains and crunchy seeds, offering a rich, nutty flavour and satisfying texture. Naturally low GI, it's slow-releasing and nourishing—perfect for keeping you fuller for longer.",DE55 4AS,own produce,Gluten (wheat); Sesame?,,
Luke Evans Bakery,Donker Rye (Uncut),Bread,2.57,400g loaf,"Deep in colour and rich in flavour, our Donker Malted Rye Bread is crafted with rye flour and malted grains for a robust, earthy character. Slowly baked to develop its distinctive taste and satisfying texture, it's the kind of bread that pairs beautifully with strong cheeses, cured meats or simply a spread of butter.",DE55 4AS,own produce,"Gluten (wheat, rye); Barley (malt)?",,
Luke Evans Bakery,Donker Rye (Sliced),Bread,2.78,400g loaf,"Deep in colour and rich in flavour, our Donker Malted Rye is a loaf with real character. Slowly baked to bring out its malty, earthy notes, it's robust, satisfying and perfectly balanced. Pre-sliced for ease, it's the kind of bread that pairs beautifully with strong cheeses, smoked fish or a simple spread of butter.",DE55 4AS,own produce,"Gluten (wheat, rye); Barley (malt)?",,
Luke Evans Bakery,Sausage Roll,Pastries & Cakes,1.65,each,"Our Jumbo Sausage Roll is everything a savoury treat should be — hearty, generous and full of flavour. Golden layers of flaky pastry enclose seasoned sausage meat, baked with the same care and patience as all our craft. Whether eaten warm or cold, it's a true Derbyshire staple — simple food, done properly.",DE55 4AS,own produce,Gluten (wheat); Milk (butter pastry); Eggs (egg wash); Sulphites?,,
Luke Evans Bakery,Cheese Straws,Pastries & Cakes,2.7,pack of 2,"Our Cheese Straws are baked to a golden crisp, twisting mature cheese into buttery pastry for a satisfying savoury snack. Perfect with a cup of tea or as a nibble on the go, they carry the same care and craft that has defined our baking for over two centuries. Simple ingredients, baked to perfection.",DE55 4AS,own produce,"Gluten (wheat); Milk (cheese, butter); Eggs (egg wash)?",,
Luke Evans Bakery,Mini Victoria Sandwiches,Pastries & Cakes,3.6,pack of 2,"A timeless classic in miniature form. Our mini Victoria sandwiches pair light sponge with sweet jam and soft cream, creating a little cake that carries all the charm of afternoon tea. Each twin pack brings you a taste of tradition in a perfectly sized portion.",DE55 4AS,own produce,Gluten (wheat); Milk; Eggs,,
Luke Evans Bakery,Mini Chocolate Sandwiches,Pastries & Cakes,3.6,pack of 2,"Our mini chocolate sandwich cakes are made with moist chocolate sponge and layered with smooth chocolate cream. Baked with care and rich in flavour, they are a little indulgence that feels both familiar and special.",DE55 4AS,own produce,Gluten (wheat); Milk; Eggs; Soya (chocolate),,
Luke Evans Bakery,Chocolate Flapjack,Pastries & Cakes,2.8,pack of 2,"Golden oats meet rich chocolate in our Small Chocolate Flapjack. Baked slowly to a chewy finish and topped with a layer of chocolate, it's a sweet, satisfying treat that honours traditional baking methods.",DE55 4AS,own produce,Gluten (oats); Milk (butter); Soya (chocolate),,
Luke Evans Bakery,Rocky Road,Pastries & Cakes,2.8,pack of 2,"Our Rocky Road is a decadent mix of chocolate, marshmallows and biscuit pieces, baked to create a chewy, indulgent treat. Each slice is full of texture and flavour — perfect for sharing or enjoying as a little moment of indulgence.",DE55 4AS,own produce,"Gluten (wheat, biscuit); Milk; Soya (chocolate)",,
Luke Evans Bakery,Cornflake Slice,Pastries & Cakes,2.65,pack of 2,"Crunchy cornflakes bound with golden syrup and chocolate make this slice a nostalgic favourite. Simple ingredients, baked carefully to create a satisfying combination of crisp and sweet in every bite.",DE55 4AS,own produce,"Gluten (wheat, barley malt in cornflakes); Milk; Soya (chocolate)",,
Luke Evans Bakery,Large Iced Bakewell,Pastries & Cakes,4.35,"6"" each","This Iced Bakewell begins with a crisp pastry base and a layer of jam, topped with soft frangipane sponge and finished with sweet icing. A simple yet indulgent treat that has stood the test of time.",DE55 4AS,own produce,Gluten (wheat); Milk; Eggs; Tree nuts (almonds),,
Luke Evans Bakery,Large Egg Custard,Pastries & Cakes,3.2,each,"Our Large Egg Custard is a true bakery classic: smooth, creamy custard baked gently in crisp pastry and finished with a dusting of nutmeg. It's a dessert rooted in tradition, offering simple comfort and timeless flavour in every slice.",DE55 4AS,own produce,Gluten (wheat); Milk; Eggs,,
Luke Evans Bakery,Derbyshire Oatcakes,Other,2.52,pack of 4,"A true taste of our county's heritage. These soft, pancake-like oatcakes are made to a time-honoured recipe and loved for their versatility. Roll them with cheese and bacon, or enjoy simply with butter.",DE55 4AS,own produce,"Gluten (oats, wheat); Milk?",,